Year,Month,Day,Data logger,Date,Toul
2010,6,20,Hobo,2010/6/20,13.76679167
2010,6,21,Hobo,2010/6/21,15.04633333
2010,6,22,Hobo,2010/6/22,16.594625
2010,6,23,Hobo,2010/6/23,18.669375
2010,6,24,Hobo,2010/6/24,20.49308333
2010,6,25,Hobo,2010/6/25,21.96629167
2010,6,26,Hobo,2010/6/26,23.409625
2010,6,27,Hobo,2010/6/27,23.196625
2010,6,28,Hobo,2010/6/28,23.35158333
2010,6,29,Hobo,2010/6/29,23.086625
2010,6,30,Hobo,2010/6/30,24.98883333
2010,7,1,Hobo,2010/7/1,25.57220833
2010,7,2,Hobo,2010/7/2,24.09504167
2010,7,3,Hobo,2010/7/3,22.71258333
2010,7,4,Hobo,2010/7/4,22.53216667
2010,7,5,Hobo,2010/7/5,20.11354167
2010,7,6,Hobo,2010/7/6,21.59145833
2010,7,7,Hobo,2010/7/7,22.00470833
2010,7,8,Hobo,2010/7/8,25.97154167
2010,7,9,Hobo,2010/7/9,23.861
2010,7,10,Hobo,2010/7/10,24.25841667
2010,7,11,Hobo,2010/7/11,24.644125
2010,7,12,Hobo,2010/7/12,23.0895
2010,7,13,Hobo,2010/7/13,23.00791667
2010,7,14,Hobo,2010/7/14,21.282375
2010,7,15,Hobo,2010/7/15,22.05325
2010,7,16,Hobo,2010/7/16,20.89825
2010,7,17,Hobo,2010/7/17,19.33883333
2010,7,18,Hobo,2010/7/18,19.95279167
2010,7,19,Hobo,2010/7/19,21.78245833
2010,7,20,Hobo,2010/7/20,22.99316667
2010,7,21,Hobo,2010/7/21,18.20316667
2010,7,22,Hobo,2010/7/22,19.42445833
2010,7,23,Hobo,2010/7/23,17.88325
2010,7,24,Hobo,2010/7/24,18.385125
2010,7,25,Hobo,2010/7/25,18.16529167
2010,7,26,Hobo,2010/7/26,21.037375
2010,7,27,Hobo,2010/7/27,21.64520833
