Dispositif,Year,SiteName,Valley,Prove,BlockCG,ID,Mother,LU,LC,GS,Elevation
Toulenne,2014,Artouste,Ossau,O16,4_Toulenne,O16Q6-4 B4,O16fam6,108.0555556,281.0714286,173.015873,1600
Toulenne,2014,Artouste,Ossau,O16,4_Toulenne,O16Q6-5 B4,O16fam6,108.0555556,291.4285714,183.3730159,1600
Toulenne,2014,Artouste,Ossau,O16,4_Toulenne,O16Q6-6 B4,O16fam6,107.6666667,274.0714286,166.4047619,1600
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q21-1 B3,L3fam21,100.6666667,287.7058824,187.0392157,300
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q10-1 B4,O1fam10,102.75,288.8529412,186.1029412,100
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q10-3 B4,O1fam10,101.90625,305.4615385,203.5552885,100
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q2-2 B4,L8fam2,110,278.8571429,168.8571429,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q2-3 B4,L8fam2,105,299.8571429,194.8571429,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q2-4 B4,L8fam2,107.5,277.2307692,169.7307692,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q2-5 B4,L8fam2,105.625,328,222.375,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q2-6 B4,L8fam2,105.625,NA,NA,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q2-7 B4,L8fam2,106.1111111,299.8571429,193.7460317,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q2-8 B4,L8fam2,101.0555556,NA,NA,800
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q4-2 B4,O12fam4,107.0833333,270.3333333,163.25,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q4-3 B4,O12fam4,108.0555556,275.5,167.4444444,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q4-5 B4,O12fam4,107.9411765,277.3333333,169.3921569,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q4-6 B4,O12fam4,105,286.2307692,181.2307692,1200
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q25-1 B3,L8fam25,106.8181818,NA,NA,800
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q50-4 B3,L3fam50,101.6,277.2307692,175.6307692,300
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q50-5 B3,L3fam50,107.0833333,NA,NA,300
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q50-7 B3,L3fam50,110,295.5,185.5,300
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q50-8 B3,L3fam50,101.5416667,NA,NA,300
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q50-2 B4,L3fam50,109.7254902,288.5,178.7745098,300
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q50-3 B4,L3fam50,107.5,NA,NA,300
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q14-3 B4,L8fam14,113.3157895,NA,NA,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q14-4 B4,L8fam14,118.875,311.5714286,192.6964286,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q14-5 B4,L8fam14,107.3076923,278.8571429,171.5494505,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q14-6 B4,L8fam14,110,278.4615385,168.4615385,800
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q58-1 B3,L3fam58,109.2222222,283.2222222,174,300
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-5 B4,O12fam31,106.8181818,275.25,168.4318182,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-3 B4,O12fam31,109.4,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-2 B4,O12fam31,109.0540541,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-1 B4,O12fam31,108.8135593,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-11 B3,O12fam31,107.0833333,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-10 B3,O12fam31,107.8125,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-8 B3,O12fam31,108.1578947,275.5714286,167.4135338,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-7 B3,O12fam31,106.1111111,282.5,176.3888889,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-6 B3,O12fam31,108.2051282,290.8205128,182.6153846,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-4 B3,O12fam31,108.2051282,281.5,173.2948718,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-3 B3,O12fam31,108.2051282,277.2307692,169.025641,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q31-2 B3,O12fam31,106.1111111,NA,NA,1200
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q28-2 B4,O1fam28,102.7741935,275.25,172.4758065,100
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q27-7 B4,O12fam27,112.625,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q27-5 B4,O12fam27,107.0833333,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q27-1 B4,O12fam27,101.8135593,281.5,179.6864407,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q27-6 B3,O12fam27,107.0833333,273.7411765,166.6578431,1200
Toulenne,2014,Le_Hourcq,Ossau,O8,4_Toulenne,O8Q10-7 B4,O8fam10,106.1111111,271.8571429,165.7460317,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q9-8 B4,L8fam9,101.5416667,NA,NA,800
Toulenne,2014,Papillon,Luz,L8,4_Toulenne,L8Q9-6 B4,L8fam9,108.1578947,281.8529412,173.6950464,800
Toulenne,2014,Peguere,Luz,L16,4_Toulenne,L16Q16-6 B4,L16fam16,113.1111111,NA,NA,1600
Toulenne,2014,Peguere,Luz,L16,4_Toulenne,L16Q15-8 B4,L16fam15,110,NA,NA,1600
Toulenne,2014,Peguere,Luz,L16,4_Toulenne,L16Q15-6 B4,L16fam15,108.5416667,289.8333333,181.2916667,1600
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q59-4 B4,L3fam59,105,333,228,300
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q59-3 B4,L3fam59,108.1578947,274.1176471,165.9597523,300
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q59-2 B4,L3fam59,107.9411765,274.9411765,167,300
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q59-1 B4,L3fam59,107.5,274.5,167,300
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q59-8 B3,L3fam59,108.2051282,NA,NA,300
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q59-7 B3,L3fam59,108.1578947,287.5,179.3421053,300
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q59-5 B3,L3fam59,101.9705882,274.1176471,172.1470588,300
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q2-8 B4,O12fam2,106.3157895,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q2-7 B4,O12fam2,108.3333333,NA,NA,1200
